Account Number (Fishbowl),Customer Name,Address,City,State,Zip,Current Account Type,Assigned Sales Rep,Action Needed
"1732","118 FULTON ST CONVENIENCE","118 FULTON ST
IN STORE","NEW YORK","New York","10038-2712","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1809","2 Chick and a Head Shop","1503 W State Hwy J","Ozark","Missouri","65721","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1642","21 Plus Smoke Shop","52 Franklin St","Quincy","Massachusetts","2169","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1872","24 Stop Smokeshop","1812 W Waco Dr","Waco","Texas","76701","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1817","2578 BROADWAY GIFT SHOP","2578 BROADWAY FRNT 5
IN STORE","NEW YORK","New York","10025-5642","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"786","2nd Street Market","200 San Jacinto Blvd","Austin","Texas","78701","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1565","309 Swift Shop","7001 PA-309","Coopersburg","Pennsylvania","18036","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1523","3rd Eye | SD","ATTN: Eileen
3109 W 41st Street
Ste. 6","Sioux Falls","South Dakota","57105","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","420 Friendlys CBD and Kratom shop","6628 W 10th st. #101","Greeley","Colorado","80634","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1176","420 Smoke Shop","428 E Santa Clara St","San Jose","California","95112","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1707","4Twenty Distro","203 Park Ave","Manalapan","New Jersey","7726","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1217","540 smoke and vape","1204 n main st Suite H","summersville","South Carolina","29483","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"758","55 tobacco & vape","107 dickens rd","fuquay-varina","North Carolina","27526","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1743","7 LUCKY FOOD MART","612 SE 223RD AVE
IN STORE","GRESHAM","Oregon","97030-2510","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"492","7-11 Las Vegas - Store # 17262 - Aman","3768 East Tropicana Ave","Las Vegas","Nevada","89121","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","7-11 Las Vegas - Store # 29967- Pal","30 W Wyoming Ave","Las Vegas","Nevada","89012","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"488","7-11 Las Vegas - Store # 38994 - Farhood","2355 Via Inspirada","Henderson","Nevada","89044","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1931","789 Smokeshop (WY)","ATTN: Regina
180 Red Wolf Place","Riverton","Wyoming","82501","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1730","88 NASSAU MINI MARKET","88 NASSAU ST
IN STORE","NEW YORK","New York","10038-3759","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1483","A Puff Above","27088 Lorain Rd","North Olmsted","Ohio","44070","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1532","A to Z Smoke & Convenience","581 Jericho Turnpike","Huntington","New York","11743","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"476","A to Z- Wholesale - ED","1021 Morgan Park Road","Pelham","Alabama","35124","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1780","A Tobacco & Vape LLC","734 Ohio River Blvd","Rochester","Pennsylvania","15074","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"567","A&H smoke and vape","1561 n cooper Rd,suite #104","Gilbert","Arizona","85233","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1806","A&N Smoke Shop","910 W Hatcher Rd","Phoenix","Arizona","85021","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1228","A1 smoke","8551 e washington st","chagrin falls","Ohio","44023","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1764","ABE’S LIQOUR","240 PIER AVE
IN STORE","HERMOSA BEACH","California","90254-3611","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1841","Acadia Canna & Kratom","2137 Five Mile Line Rd","Penfield","New York","14523","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1684","Adyah Wholesale","2468 Park Ave","Easton","Pennsylvania","18045","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Aimrok Distributors","9064 Jetrail Dr","olltewah","Tennessee","37363","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1427","Airavata Vapors LLC","1200 Queenborough Blvd Ste F","Mt Pleasant","South Carolina","29464","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1875","AK Smoke World","ATTN: Ayman
750 W Dimond Blvd #109","Anchorage","Alaska","99515","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1734","AL- ASAD TOBACCO SHOP","7941 PULASKI HWY STE C","ROSEDALE","Maryland","21237-2774","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Alaskan Pipeline Juneau","209 Seward st.","Juneau","Alaska","99801","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"116","Alchemy Within | Shelby Dawn Smith","294 n 2900 e","ST.George,UT 84790","","","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"691","Alisa Ligrani","461 West 13490 South
A405","Draper","Utah","84020","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1722","ALL 5 ELEMENTS KAVA LOUNGE","12682 STARKEY RD
IN STORE","LARGO","Florida","33773-1423","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"807","All Coast Distro","4820 west 130th st","Cleveland","Ohio","44135","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1416","All Pro Cell Phone Repar And Smoke Shop |","6303 WOODWARD AVE","Downers Grove","Illinois","60516","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1188","All the smoke and vape","2107 Central ave nw","Albuquerque","New Mexico","87104","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"328","Alt 21","5470 s 900 e #5","murray","Utah","84117","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"767","Altitude Apothecary + Grow","307 S Hickory Dr","Bloomington","Indiana","47403","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"612","ALVIN HONG","133 ROCK WREN LN","BRISBANE","California","94005-1244","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"320","Am 2 Pm | URGG LLC","9447 S Union Square","Sandy","Utah","84070","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"584","Amer Qawasmi","407 WHITE PLAINS RD","EASTCHESTER","New York","10709-2805","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1571","American Liquors | CO","ATTN: Craig
76 Huron Rd","Breckenridge","Colorado","80424","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Amia Trading - AWS","201 E Anderson Lane","Austin","Texas","78752","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1030","Amsterdam Smoke and Vape","315 Pine Ave","Long Beach","California","90802","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1745","ANDERSON VAPES AND SMOKES","1808 CA-273
IN STORE","Anderson","California","96007","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1250","ANS LLC","3316 Jacob Ln","San Marcos","Texas","78666","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"477","Apna Wholesale","1818 Merchants Drive","Hoover","Alabama","35244","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1563","Artful Gun","211 10th Street E #203","Hastings","Minnesota","55033","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"113","Aryana Wholesale","280 E Larch Rd STE 110","Tracy","California","95304","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"529","Ashland","2931 N Main St","Walnut Creek","California","94597","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1242","Avalon Vapor # 1","1027 Folly Rd","Charleston","South Carolina","29412","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","B.I.G. Wholesale","4200 Industry Dr E #A","Fife","Washington","98424","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"892","Baba Smoke Shop","ATTN: Eddie
3410 Farm to Market 2920 50 Ste 50","Spring","Texas","77388","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1576","Bahama Mama Katy","1245 N Fry Rd Suite D","Katy","Texas","77449","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"725","Bapashree Wholesale LLC","3221 Fern Valley Rd","Louisville","Kentucky","40213","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1566","Barrick Distro","441 Martel Lane","Coppell","Texas","75019","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1885","BC HQ LLC","1100 N McCord Road, Suite J","Toledo","Ohio","43615","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"622","Benjamin Wright","2302 OLYMPIA AVE NE","OLYMPIA","Washington","98506-4749","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"760","Bergelectric Corp.","5142 Clareton Dr.
Suite 140","Agoura Hills","California","91301","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"159","Best Smoke","2120 Macdill Ave
Unit D","Tampa","Florida","33629","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1477","Big Cloudz Vapor","716 main street","Hallstead","Pennsylvania","18822","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1738","BIG E’S DELI","180 W SERVICE RD
IN STORE","STATEN ISLAND","New York","10314-4753","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"513","Blu Smoke Shop","7607 E Mcdowell Rd # 118","Scottsdale","Arizona","85257","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1106","Boba Botanica","2049 Wadsworth Blvd Ste C","Lakewood","Colorado","80214","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"429","Botanical Superstore","1986 North 1st St Suite #A","Hamilton","Montana","59840","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"830","Braden Gardner","552 Elm Street","Layton","Utah","84041","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"632","Brandon C.","2666 PEARLE DR","DES PLAINES","Illinois","60018-4065","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"636","Brandon Simmons","163 PRAIRIE DAWN CIR","CONROE","Texas","77385-3595","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1805","Bright Side Distributing","12402 SE Jennifer Street","Clackamas","Oregon","97015","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"15","BTG Distro | TCC LLC","320 N Orchard St","Boise","Idaho","83715","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1437","Bud's Glass Joint","907 N 5th St","Phoenix","Arizona","85004","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"779","Budz Vapes","17020 I-35 a1","Buda","Texas","78610","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Burnies Smoke Shop | FL","ATTN: Vladimir, 837 N Federal Hwy","Fort Lauderdale","Florida","33304","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1850","Buzz Smoke & Vape Geneva","722 E State St","Geneva","Illinois","60134","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1533","C's Liquor","719 2nd Ave W","Spencer","Iowa","51301","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","CA Wholesale","5722 Logan Court","Denver","Colorado","80216","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1210","Cactus Smoke Shop","21501 Brookhurst St G","Huntington Beach","California","92646","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1516","cali blaze","2004 dairy mart rd unit #121 A","san ysidro","California","92173","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"750","CALI HEADZ SMOKESHOP","4915 Center St
A1","Tacoma","Washington","98409","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"453","Canna Health","740 Dean Dr","Northglenn","Colorado","80233","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1221","Cannatron","1783 E. 14 Mile Rd.","Troy","Michigan","48083","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Capitol Botanicals | WY","1934 Sheridan Avenue","Cody","Wyoming","82414","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1141","Capone's Vape & Glass | Herrin","114 N Park Ave","Herrin","Illinois","62948","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1729","CASK & WINE SHOP","3303 KIMBER DR STE A","NEWBURY PARK","California","91320-4368","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"319","CBD Essentials","2464 W 12600 S #130","Riverton","Utah","84065","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"645","Celebrity Cigar","88 e Main st","mendhem","New Jersey","7945","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1297","Central Tobacco/Mars Dist.","1430 93rd Ln NE","Minneapolis","Minnesota","55449","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"652","Champs Cigar and Vape","4441 Nottingham Way","Hamilton","New Jersey","8690","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"516","Cheaper Cigarettes","1709 Noriega St","San Francisco","California","94122","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"648","Chevron gastation","1155 S Higley Rd","Mesa","Arizona","85206","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1514","Choice Food Store","182 State Route 35","keyport","New Jersey","7735","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"608","Chris MacLaren","3000 AUBURN DR STE 410","BEACHWOOD","Ohio","44122-4340","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"596","Christina Koro","434 ROSEMONT ST","LA JOLLA","California","92037-6058","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Cigarville Inc","51 W 14th St","New York","New York","10011","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1758","CITY LIQUOR","3028 ESPLANADE STE A","CHICO","California","95973-4924","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1824","CLARK MARKET","51 CLARK ST
IN STORE","BROOKLYN","New York","11201-2415","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1747","CLARKS LIQUOR","1750 CLARK AVE
IN STORE","LONG BEACH","California","90815-3801","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1215","Cleveland CNC LLC (Metro Smoke Wholesale)","6410 Eastland Rd ste. A","Brook Park","Ohio","44142","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"522","Cloud 9","2721 Del Paso Rd STE.120","Sacramento","California","95835","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"203","Cloud Chasers vape","8152 La Mesa Blvd","Le Mesa","California","91942","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"793","Cloud House Odessa","8574 Gunn Hwy","Odessa","Florida","33556","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"119","Cloud house vaporz","1230 Lewis River RD Suite D","Woodland","Washington","98674","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1631","Cloud King","930 Brookline Blvd Apt 1","Pittsburgh","Pennsylvania","15226","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Cloud X Vape & Smoke | Pocatello","1100 Yellowstone Ave","","Idaho","83201","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Cloud X Vape and Smoke | ID Falls","1568 W Broadway St","Idaho Falls","Idaho","83402","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"692","coastal distributions","852 dupont rd","charleston","South Carolina","29407","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Cold Smoke","1802 1st Ave N","Billings","Montana","59101","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"291","Colorful Vibes/Brett Gromowski","1415 Forum Dr","Rolla","Missouri","65401","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1791","Common Sense","400 S 2nd Ave","Sioux Falls","South Dakota","57104","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1887","Continental Smoke Shop","107-36 71st Ave","Forest Hills","New York","11375","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1522","Coon Rapids Tobacco Inc","2740 main Street NW Suite 106","Coon Rapids","Minnesota","55448","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1753","CORK & BREW MARKET","2700 S CONGRESS AVE
IN STORE","AUSTIN","Texas","78704-6422","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1542","Corning Smoke Shop","1935 Solano St.","Corning","California","96021","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1838","D&A Distribution LLC","14045 Abercorn St
STE 2500","Savannah","Georgia","31419","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1187","Da Smoke Shop Vape and Smoke","86-088 Farrangton Hwy STe. 106","Waianae","Hawaii","96792","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"921","Daniel's Market","1024 Sparta Pike","Lebanon","Tennessee","37087","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1737","DANISH CONVENIENCE","7826 3RD AVE
IN STORE","BROOKLYN","New York","11209-3606","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"614","Dave Sparks","3315 SUNSET LOOP RD","BOUNTIFUL","Utah","84010-3247","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"618","David Coxe","1719 E DAVA DR","TEMPE","Arizona","85283-4833","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"610","DAVID MCCLUNE","5086 E ST","SACRAMENTO","California","95819-2944","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1041","Dejavu Wholesale inc","3191 Terrace Ave Suite 8","Slidell","Louisiana","70458","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"620","Derek Roos","7400 E ARAPAHOE RD STE 203","CENTENNIAL","Colorado","80112-1281","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"606","Derek Stamos","7740 SW 74TH AVE","PORTLAND","Oregon","97223-9563","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Destin Smoke Shop","16055 Emerald Coast Pkwy #105","Destin","Florida","32541","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"595","Dionne Coburn","6549 WH STOWE RD","CLOVER","South Carolina","29710-9165","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
