"Customer #","Name","Account Number","Sales Rep","Account Type","Transfer Status","Original Owner","Copper ID"
"485","A1 Plus Smoke Shop","","Unassigned","Wholesale","","DerekW","72775542"
"1228","A1 smoke","","Unassigned","Wholesale","","Sergio","74820855"
"662","Aarna Distribution","","Zalak Zaveri","Distributor","","Zalak","72775543"
"444","Ab's Tobacco & Vape","","Brandon Good","Wholesale","","Jared","72775544"
"1764","ABE’S LIQOUR","","Unassigned","Retail","","Unassigned","74490742"
"1841","Acadia Canna & Kratom","","Derek Whitworth","Wholesale","","DerekW","73719491"
"1559","Ace Wholesale Inc.","","Brandon Good","Distributor","","BenW","72775885"
"1684","Adyah Wholesale","","Derek Whitworth","Distributor","","DerekW","72680888"
"176","AHA! Holisticals","","Unassigned","Wholesale","","red","72775546"
"307","Aim high smoke shop","","JaredM","Wholesale","","Jared","72775547"
"728","Aimrok Distributors","","Jared Leuzinger","Wholesale","","Zalak","72775548"
"874","Aimrok Nashville","","Jared Leuzinger","Wholesale","","Zalak","72775549"
"1427","Airavata Vapors LLC","","Derek Whitworth","Wholesale","","DerekW","70961210"
"191","AK Group/puff n stuff","","Derek Whitworth","Wholesale","","Sergio","72775550"
"1875","AK SMOKE WORLD","","Brandon Good","Wholesale","","BrandonG","72691492"
"1734","AL- ASAD TOBACCO SHOP","","ShipStation","Wholesale","","ShipStation","74438028"
"396","Alamogordo Smoke Shop","","JaredM","Wholesale","","Tates","72775552"
"192","Alan Sheston","","Zalak Zaveri","Wholesale","","admin","72775553"
"124","Alaska Pipeline","","Brandon Good","Wholesale","","red","72775781"
"349","Alaskan Pipeline Juneau","","Brandon Good","Wholesale","","BrandonG","72775886"
"1408","Alaskan Ventures LLC","","Brandon Good","Wholesale","","Jared","72775887"
"116","Alchemy Within | Shelby Dawn Smith","","Brandon Good","Wholesale","","Sergio","74437506"
"1469","Alcosta on Broadway","","Ben Wallner","Wholesale","","Unassigned","72775557"
"1468","Alcosta Smoke Shop","","Ben Wallner","Wholesale","","Unassigned","72775558"
"84","Ali Baba's Smoke and Vape","","Ben Wallner","Wholesale","","admin","70963031"
"691","Alisa Ligrani","","Unassigned","Retail","","SHOPIFY","74821013"
"1722","ALL 5 ELEMENTS KAVA LOUNGE","","ShipStation","Wholesale","","ShipStation","74438015"
"807","All Coast Distro","","Joe Simmons","Distributor","","JSimmons","72693058"
"1601","All In One Market LLC | CO","","Brandon Good","Wholesale","","BrandonG","72775888"
"1416","All Pro Cell Phone Repar And Smoke Shop |","","Unassigned","Wholesale","","BrandonG","71725233"
"1188","All the smoke and vape","","JaredM","Wholesale","","Jared","74820838"
"517","Allegria Novelties","","Ben Wallner","Distributor","","BenW","73345353"
"1959","Aloha Vibrations","","Brandon Good","Wholesale","","BrandonG",""
"393","Alpha Creations- CA","","Unassigned","Wholesale","","admin","72776334"
"328","Alt 21","","Brandon Good","Wholesale","","Sergio","72196291"
"767","Altitude Apothecary + Grow","","Unassigned","Wholesale","","DerekW","70961262"
"612","ALVIN HONG","","Unassigned","Wholesale","","ShipStation","74820982"
"320","Am 2 Pm | URGG LLC","","Brandon Good","Wholesale","","Sergio","72196287"
"938","AM/PM","","Ben Wallner","Wholesale","","DerekW","72824875"
"898","AM/PM-Roseville","","Ben Wallner","Wholesale","","admin","72775564"
"584","Amer Qawasmi","","Unassigned","Retail","","ShipStation","74820953"
"1571","American Liquors | CO","","Brandon Good","Wholesale","","BrandonG","72040937"
"932","American Smoke Shop","","Unassigned","Wholesale","","Jared","72775892"
"294","American Smoke Shop 2","","Unassigned","Wholesale","","Jared","72775568"
"1131","Amia Trading - AWS","","Zalak Zaveri","Distributor","","Jared","72775569"
"1424","Amin International Inc","","Jared Leuzinger","Distributor","","Jared","72213128"
"1123","AMS Distribution LLC","","Unassigned","Distributor","","Zalak","72775571"
"1030","Amsterdam Smoke and Vape","","Unassigned","Wholesale","","DerekW","74820796"
"816","Anarchy Smoke & Cigars","","Ben Wallner","Wholesale","","mcraft","72775573"
"1745","ANDERSON VAPES AND SMOKES","","ShipStation","Retail","","ShipStation","74438044"
"1690","Another Vape Shop","","Joe Simmons","Wholesale","","JSimmons","72745730"
"1250","ANS LLC","","Jared Leuzinger","Distributor","","DerekW","74820861"
"1108","anthem smoke and gift","","JaredM","Wholesale","","Unassigned","72775575"
"566","Apex Smoke & Vape Shop","","Jared Leuzinger","Wholesale","","Jared","72189417"
"477","Apna Wholesale","","Robert Farias","Distributor","","admin","72775578"
"969","Arabian Nights Vape","","Unassigned","Wholesale","","DerekW","72775896"
"1448","Area 51, Inc. | VA","","Brandon Good","Wholesale","","Zalak","72775897"
"1316","Aria Smoke Shop","","Zalak Zaveri","Wholesale","","JSimmons","72775898"
"1273","Art Dogs & Grace","","JaredM","Wholesale","","JSimmons","72775900"
"1563","Artful Gun","","Joe Simmons","Wholesale","","JSimmons","71947416"
"113","Aryana Wholesale","","Derek Whitworth","Distributor","","BenW","74820824"
"529","Ashland","","Ben Wallner","Wholesale","","DerekW","70961215"
"237","Atmosphere Smoke Shop","","Brandon Good","Wholesale","","Jared","72775584"
"165","Audrey Miranda","","Unassigned","Wholesale","","admin","72775585"
"184","Austin Wholesale","","Jared Leuzinger","Distributor","","mattPeters","72775586"
"1242","Avalon Vapor # 1","","Unassigned","Wholesale","","Jared","74820860"
"263","B.I.G. Wholesale","","admin","Distributor","","admin","72775587"
"892","Baba Smoke Shop","","Brandon Good","Wholesale","","BrandonG","70963014"
"1576","Bahama Mama Katy","","Jared Leuzinger","Wholesale","","Jared","72231508"
"811","Bahama Mama- Lake Houston","","Jared Leuzinger","Wholesale","","admin","72775589"
"810","Bahama Mama-Chimney Rock","","Jared Leuzinger","Wholesale","","admin","72775590"
"1314","Ballantyne Tobacco & Vape","","Unassigned","Wholesale","","JSimmons","72775901"
"725","Bapashree Wholesale LLC","","Unassigned","Distributor","","DerekW","70961270"
"532","Bargain City Smoke","","Unassigned","Wholesale","","Unassigned","72775592"
"1566","Barrick Distro","","Jared Leuzinger","Distributor","","Jared","72238757"
"951","Bearded Vaper","","JaredM","Wholesale","","BrandonG","72775902"
"414","Bellaire Smoke Shop","","Jared Leuzinger","Wholesale","","Jared","72775594"
"1664","Bellmawr News & Tobacco","","Derek Whitworth","Wholesale","","DerekW","72775903"
"1282","BeMore Smoke Place","","Derek Whitworth","Wholesale","","JSimmons","72775905"
"622","Benjamin Wright","","Unassigned","Retail","","ShipStation","74820992"
"760","Bergelectric Corp.","","Unassigned","Retail","","SHOPIFY","74821014"
"159","Best Smoke","","Zalak Zaveri","Wholesale","","Jared","72415121"
"160","Best Smoke 2","","Zalak Zaveri","Wholesale","","Jared","72775599"
"1487","Best Value Distro","","Unassigned","Distributor","","Unassigned","72775600"
"194","Best Value Tobacco/","","Unassigned","Wholesale","","Unassigned","72775601"
"1323","Beyond the Cloud","","Unassigned","Wholesale","","DerekW","72775906"
"834","BFG Distribution","","Zalak Zaveri","Distributor","","Jared","72775603"
"306","BG Sales","","Unassigned","Distributor","","admin","72775604"
"1029","Big Chill Smoke Shop | Oregon City","","Ben Wallner","Wholesale","","BrandonG","72775908"
"1477","Big Cloudz Vapor","","Derek Whitworth","Wholesale","","Jared","71509093"
"1738","BIG E’S DELI","","Unassigned","Wholesale","","Unassigned","74438032"
"1305","Big Lake Smoke Shop","","Unassigned","Wholesale","","JSimmons","72775909"
"788","Big O's Smoke Shop","","Ben Wallner","Wholesale","","Jared","72775910"
"837","Big Willies ATP","","Unassigned","Wholesale","","BrandonG","72775782"
"424","Big Worms Smoke Shop","","JaredM","Wholesale","","Tates","72775609"
"264","Bio Hazard Inc.","","Unassigned","Wholesale","","mattPeters","72775610"
"1320","Bizarre Glass & Smoke","","JaredM","Wholesale","","DerekW","72775914"
"552","Bizarre Glass And Smoke Shop","","JaredM","Wholesale","","Jared","72775612"
"1507","Black Hills vapors | SD","","Brandon Good","Wholesale","","BrandonG","72775918"
"1140","Blazin Buds | Canton","","Brandon Good","Wholesale","","BrandonG","72775919"
"513","Blu Smoke Shop","","JaredM","Wholesale","","Tates","72196309"
"521","Blue Cave Smokeshop - San Ramon","","Ben Wallner","Wholesale","","DerekW","72775617"
"1040","Blueberry Trading","","Ben Wallner","Distributor","","BenW","72196371"
"1106","Boba Botanica","","Brandon Good","Wholesale","","DerekW","74820820"
"400","Bobs Smoke Shop","","JaredM","Wholesale","","Tates","72775618"
"1554","Body Logix | TX","","Jared Leuzinger","Wholesale","","Jared","72775920"
"391","Boldt Runners Corp","","Unassigned","Wholesale","","admin","72775620"
"1574","Botanical Queen | MT","","Brandon Good","Wholesale","","BrandonG","72775921"
"429","Botanical Superstore","","Brandon Good","Wholesale","","BrandonG","70961241"
"1309","Botanical Wellness","","Zalak Zaveri","Wholesale","","Zalak","72775819"
"211","Botava Wholesale/Rhianin B","","Brandon Good","Distributor","","Sergio","72775623"
"947","BP Tobacco Plus","","Unassigned","Wholesale","","BrandonG","72775926"
"190","Brad DuLong","","Jared Leuzinger","Wholesale","","admin","72775814"
"830","Braden Gardner","","Unassigned","Retail","","SHOPIFY","74821017"
"632","Brandon C.","","Unassigned","Retail","","ShipStation","74821002"
"636","Brandon Simmons","","Unassigned","Retail","","ShipStation","74821008"
"907","Bread basket Manchaca","","Jared Leuzinger","Wholesale","","admin","72776342"
"1805","BRIGHT SIDE DISTRIBUTING","","Ben Wallner","Distributor","","BenW","73063486"
"1651","Britain One Stop Inc","","Derek Whitworth","Wholesale","","DerekW","72775931"
"1897","BROAD STREET LIQUORS","","Derek Whitworth","Wholesale","","DerekW","72914781"
"1699","Brookpark Smokes and Beverage","","Joe Simmons","Wholesale","","JSimmons","72775850"
"15","BTG Distro | TCC LLC","","Unassigned","Distributor","","admin","72775633"
"1437","Bud's Glass Joint","","JaredM","Wholesale","","JSimmons","71520784"
"779","Budz Vapes","","Unassigned","Wholesale","","DerekW","70961221"
"1240","Bulldog Liquor & Wine","","Ben Wallner","Wholesale","","BrandonG","70963064"
"1339","Burbank Smoke Shop","","Unassigned","Wholesale","","DerekW","72775935"
"1446","Burnies Smoke Shop | FL","","Brandon Good","Wholesale","","Zalak","72775936"
"1163","Burnout Smoke Shop","","Ben Wallner","Wholesale","","BrandonG","70963052"
"1850","Buzz Smoke & Vape Geneva","","Joe Simmons","Wholesale","","JSimmons","73836403"
"472","Buzz Smoke Shop","","Unassigned","Wholesale","","DerekW","72775940"
"660","Buzz Smoke Shop (*Tucson)","","JaredM","Wholesale","","Tates","72775641"
"274","Buzzin Smoke & Vape Shop","","JaredM","Wholesale","","Jared","72775642"
"1951","By-Rite | Emmett","","Brandon Good","Wholesale","","BrandonG","74820932"
"1533","C's Liquor","","Jared Leuzinger","Wholesale","","Jared","72231370"
"1175","CA Wholesale","","admin","Distributor","","BrandonG","72775643"
"1210","CACTUS SMOKE SHOP","","Derek Whitworth","Wholesale","","DerekW","72917095"
"1516","cali blaze","","Sergio","Wholesale","","Sergio","72196410"
"1147","Cali Botanicals","","Unassigned","Wholesale","","BrandonG","70963057"
"750","CALI HEADZ SMOKESHOP","","Unassigned","Retail","","SHOPIFY","74309769"
"459","California Gift Center","","Ben Wallner","Wholesale","","DerekW","72443697"
"2022","Camas Creek Country Store","","Jared Leuzinger","Wholesale","","BrandonG",""
"457","Canal Express Inc.","","Derek Whitworth","Wholesale","","DerekW","72775647"
"450","Canal Smoke","","Derek Whitworth","Wholesale","","DerekW","72775649"
"453","Canna Health","","Brandon Good","Wholesale","","BrandonG","70961271"
"1221","Cannatron","","Jared Leuzinger","Distributor","","Jared","74820852"
"1463","Capitol Botanical | WY","","Brandon Good","Wholesale","","BrandonG","72775946"
"800","Capitol Smoke EC","","Zalak Zaveri","Wholesale","","Unassigned","72775651"
"799","Capitol Smoke Raleigh","","Zalak Zaveri","Wholesale","","Unassigned","72775652"
"801","Capitol Smoke RVA","","Unassigned","Wholesale","","Unassigned","72775653"
"1141","Capone's Vape & Glass | Herrin","","Brandon Good","Wholesale","","BrandonG","74437827"
"1719","Capones Carterville | IL","","Brandon Good","Wholesale","","JSimmons","74438012"
"231","Carolina NCSC","","Unassigned","Wholesale","","mattPeters","72775655"
"1729","CASK & WINE SHOP","","ShipStation","Retail","","ShipStation","72918756"
"407","Caterpillar Vapes","","JaredM","Wholesale","","Tates","72775656"
"319","CBD Essentials","","Brandon Good","Wholesale","","Sergio","72196286"
"645","Celebrity Cigar","","Derek Whitworth","Wholesale","","Sergio","72196324"
"1297","Central Tobacco/Mars Dist.","","Brandon Good","Distributor","","BrandonG","74820868"
"973","Central Tobacco/Mars Dist.","","Unassigned","Distributor","","BrandonG","72775822"
"697","Centuries Harvest","","Unassigned","Wholesale","","DerekW","72775659"
"652","Champs Cigar and Vape","","Derek Whitworth","Wholesale","","Sergio","72196326"
"1126","Chapin Hemp Company","","Unassigned","Wholesale","","Jared","72775952"
"1249","Charlie Pike Tobacco | Spokane","","Ben Wallner","Wholesale","","BrandonG","72775953"
"1691","Chase Cash & Carry, Inc","","Joe Simmons","Distributor","","JSimmons","72745661"
"937","Chasing Clouds","","JaredM","Wholesale","","BrandonG","72775663"
"954","Cheaper Cigaretes | Arcata","","Ben Wallner","Wholesale","","BenW","72775664"
"516","Cheaper Cigarettes","","Ben Wallner","Wholesale","","DerekW","70961220"
"564","Cheaper Cigarettes - Union City","","Unassigned","Wholesale","","DerekW","72775665"
"914","Cheapest Smokes","","Unassigned","Wholesale","","DerekW","72775666"
"648","Chevron gastation","","JaredM","Wholesale","","Sergio","72196325"
"1514","Choice Food Store","","Derek Whitworth","Wholesale","","DerekW","71509025"
"608","Chris MacLaren","","Unassigned","Retail","","ShipStation","74820978"
"596","Christina Koro","","Unassigned","Retail","","ShipStation","74820965"
"673","Christine S","","JaredM","Wholesale","","Jared","72775669"
"1665","Christopher Farmer | Wicked Biz","","Brandon Good","Wholesale","","BrandonG","72775670"
"1244","Cig World","","Ben Wallner","Wholesale","","DerekW","72775956"
"212","Cigar House/Danny","","Unassigned","Wholesale","","Sergio","72775672"
"818","Cigarette City #3","","Ben Wallner","Wholesale","","ShipStation","72775673"
"482","Cigarette Depot","","Ben Wallner","Wholesale","","DerekW","72775674"
"953","Cigarettes Cheaper | Eureka","","Ben Wallner","Wholesale","","BrandonG","72775958"
"1575","Cigarville Inc","","Derek Whitworth","Wholesale","","DerekW","72140214"
"1663","Ciggy City Smoke Shop","","JaredM","Wholesale","","Jared","72775959"
"1511","Cigs 4 Less","","Joe Simmons","Wholesale","","JSimmons","72775960"
"1758","CITY LIQUOR AND MARKET","","ShipStation","Retail","","ShipStation","72923489"
"1439","CK Import and Distributing","","Jared Leuzinger","Distributor","","BenW","72189312"
"332","CK Wellness/Lakewood","","Brandon Good","Wholesale","","Sergio","72775678"
"333","Ck Wellness/Portland","","Unassigned","Distributor","","Sergio","72775679"
"1824","CLARK MARKET","","Derek Whitworth","Wholesale","","ShipStation","74820903"
"1747","CLARKS LIQUOR","","ShipStation","Retail","","ShipStation","72923867"
"1122","Classic Smoke Shop | Eug","","Ben Wallner","Wholesale","","BrandonG","72775962"
"1215","Cleveland CNC LLC (Metro Smoke Wholesale)","","Jared Leuzinger","Distributor","","Jared","74820848"
"522","CLOUD 9","","Ben Wallner","Wholesale","","Jared","72415169"
"560","Cloud 9 Smoke & Vapors","","Derek Whitworth","Wholesale","","DerekW","72775682"
"1149","Cloud 9 Smoke Shop (Trinity)","","Zalak Zaveri","Wholesale","","Jared","72775964"
"434","Cloud 9 Vape, Glass & Tobacco","","Brandon Good","Wholesale","","Jared","72775684"
"1269","Cloud Box Smoke Shop | Tacoma","","Ben Wallner","Wholesale","","BrandonG","72775967"
"203","CLOUD CHASERS","","Sergio","Wholesale","","Sergio","72196276"
"793","Cloud House Odessa","","Zalak Zaveri","Wholesale","","DerekW","70961258"
"119","Cloud House Vaporz","","Ben Wallner","Wholesale","","Sergio","72196270"
"1631","Cloud King","","Derek Whitworth","Wholesale","","DerekW","72277819"
"1545","Cloud X Vape & Smoke | ID","","Brandon Good","Wholesale","","BrandonG","72775686"
"1685","Cloud X Vape & Smoke | Pocatello","","Brandon Good","Wholesale","","BrandonG","72775851"
"1580","Cloud X Vape and Smoke | ID Falls","","Brandon Good","Wholesale","","BrandonG","72775968"
"548","Cloud9 Vape & Smoke Shop Reno","","JaredM","Wholesale","","Unassigned","72775689"
"1171","Clouds Master","","Unassigned","Wholesale","","DerekW","72775969"
"1655","Clouds Smoke Shop","","Joe Simmons","Wholesale","","JSimmons","72369935"
"473","Cloudz Smoke shop","","Unassigned","Wholesale","","DerekW","72775692"
"748","Clown Glass","","Unassigned","Wholesale","","Jared","72775693"
"692","coastal distributions","","Unassigned","Distributor","","Sergio","72196334"
"1085","Cold Smoke","","Brandon Good","Wholesale","","BrandonG","74820812"
"255","Colorado Herbal Imports | Eroy","","Brandon Good","Wholesale","","BrandonG","72775823"
"291","Colorful Vibes/Brett Gromowski","","Joe Simmons","Wholesale","","JSimmons","71725252"
"1791","Common Sense","","Brandon Good","Wholesale","","BrandonG","74820888"
"1080","Common Sense & Herb N Legend","","Brandon Good","Wholesale","","BrandonG","72775972"
"310","Compass Eudaemonia","","Unassigned","Wholesale","","Sergio","72775697"
"1172","Connoisseur Smoke Shop","","Jared Leuzinger","Wholesale","","DerekW","72775976"
"1887","Continental Smoke Shop","","Derek Whitworth","Wholesale","","DerekW","74125012"
"1522","Coon Rapids Tobacco Inc","","Joe Simmons","Wholesale","","JSimmons","71521530"
"1753","CORK & BREW MARKET","","Unassigned","Wholesale","","ShipStation","74438051"
"935","Corner Market","","Jared Leuzinger","Wholesale","","Jared","72775699"
"1542","CORNING SMOKE SHOP","","Sergio","Wholesale","","BenW","72196416"
"957","Cortlandt Smoke and Vape","","Derek Whitworth","Wholesale","","DerekW","72775700"
"186","Covalent CBD","","JaredM","Wholesale","","mattPeters","72775701"
"1683","Crazy B's Smoke Shop Ridgway | CO","","Brandon Good","Wholesale","","BrandonG","72775853"
"48","Creating Better Days","","Zalak Zaveri","Wholesale","","tthomas","72775704"
"1404","Crowfield Tobacco and Vape LLC","","Sergio","Wholesale","","Shane-Inactive","72775706"
"1329","CS/Dk","","JaredM","Wholesale","","Unassigned","72775708"
"872","Css Wholesale","","Unassigned","Distributor","","BrandonG","72775709"
"611","CWL Brands LLC","","Unassigned","Retail","","ShipStation","74820981"
"1838","D&A Distribution LLC","","Zalak Zaveri","Distributor","","Zalak Zaveri","74820908"
"1187","Da Smoke Shop Vape and Smoke","","Brandon Good","Wholesale","","BrandonG","74820837"
"1094","Dallas Wholesale","","Jared Leuzinger","Distributor","","Unassigned","72775711"
"617","Daniel Bachmann","","Unassigned","Retail","","ShipStation","74820987"
"921","Daniel's Market","","Jared Leuzinger","Wholesale","","Jared","72267652"
"1737","DANISH CONVENIENCE","","Unassigned","Wholesale","","Unassigned","72929879"
"614","Dave Sparks","","Unassigned","Retail","","ShipStation","74820984"
"618","David Coxe","","Unassigned","Retail","","ShipStation","74820988"
"610","DAVID MCCLUNE","","Unassigned","Retail","","ShipStation","74820980"
"520","Day 1 Distro","","Derek Whitworth","Distributor","","DerekW","72775716"
"1973","Day N Night | UT","","Brandon Good","Wholesale","","BrandonG",""
"1306","Daze Smoke Shop","","Jared Leuzinger","Wholesale","","JSimmons","72775979"
"133","Deer Park Pack and Ship","","Ben Wallner","Distributor","","Jared","72775980"
"1041","Dejavu Wholesale inc","","JaredM","Distributor","","Sergio","74820802"
"620","Derek Roos","","Unassigned","Retail","","ShipStation","74820990"
"606","Derek Stamos","","Unassigned","Retail","","ShipStation","74820976"
"392","Destin Smoke Shop","","Derek Whitworth","Wholesale","","Zalak","70961228"
"595","Dionne Coburn","","Unassigned","Retail","","ShipStation","74820964"
"867","Direct Wholesale","","Jared Leuzinger","Distributor","","Jared","72775725"
"259","Discontent Lifestyle Stores","","Brandon Good","Wholesale","","Jared","72775726"
"813","Discount Cigarettes","","Unassigned","Wholesale","","admin","70963018"
"238","DISCOUNT CIGARETTES","","Ben Wallner","Wholesale","","BrandonG","72931940"
"1556","Discount Cigarettes & Cigar Market","","Ben Wallner","Wholesale","","Sergio","74820875"
"1202","Discount Novelties Wholesale","","Jared Leuzinger","Distributor","","Jared","72775728"
"1498","Discount Smoke and Vape | HI","","Brandon Good","Wholesale","","BrandonG","72189298"
"1261","Discount Smokes # 2","","JaredM","Wholesale","","Jared","72775981"
"1849","Discount Vape and More Inc","","Derek Whitworth","Wholesale","","DerekW","73456414"
"1674","Discount Wholesale | OR","","Ben Wallner","Distributor","","BrandonG","72466375"
"726","Discount Wholesale Inc","","JaredM","Distributor","","Sergio","72196354"
"792","Dispensary by Best Buds 6th ave","","Derek Whitworth","Wholesale","","Jared","72775983"
"791","Dispensary by Best Buds 8th AVe","","Derek Whitworth","Wholesale","","Jared","72775984"
"1848","DNB Distro","","Brandon Good","Distributor","","BrandonG","74820910"
"412","Dominant Distribution","","Unassigned","Distributor","","admin","72775732"
"1771","DOMINO CONVENIENCE INC","","ShipStation","Retail","","ShipStation","74820881"
"637","Donald Fisher","","Unassigned","Retail","","ShipStation","74821009"
"603","Donnie Thigpen","","Unassigned","Retail","","SHOPIFY","74820971"
"1538","Double Up Wholesale","","Joe Simmons","Distributor","","JSimmons","71731201"
"1787","Douglas Vapor LLC | WY","","Brandon Good","Wholesale","","BrandonG","74820887"
"308","Down South Distro","","Jared Leuzinger","Distributor","","Zalak","72279654"
"1811","Doyles Sheehan","","Ben Wallner","Wholesale","","BenW","71765888"
"1083","Dr. Smoke | KC","","Zalak Zaveri","Wholesale","","BrandonG","74820811"
"491","DRAGON TOBACCO","","Ben Wallner","Wholesale","","BenW","70961216"
"432","Drapergate coffee and vape","","Brandon Good","Wholesale","","Sergio","72196304"
"1721","DREAM SMOKE SHOP","","ShipStation","Retail","","ShipStation","72933849"
"1233","Dreams LLC","","Derek Whitworth","Wholesale","","DerekW","74820856"
"776","Dreams Smoke Shop","","Derek Whitworth","Wholesale","","DerekW","70961256"
"1086","Drew's Tobacco World","","JaredM","Wholesale","","Jared","74820813"
"511","Drip Botanical Tea Bar","","Jared Leuzinger","Wholesale","","Zalak","72775735"
"178","DTLA Smokes","","Unassigned","Wholesale","","red","72775736"
"440","Duke City Herbs","","JaredM","Wholesale","","Tates","72775737"
"906","Dungeon Smoke Shop","","Unassigned","Wholesale","","admin","72775738"
"204","Durity Distro","","admin","Distributor","","admin","72775739"
"1650","E-Smoke & Cigar","","Derek Whitworth","Wholesale","","DerekW","72395765"
"1697","E-Smoke & Convenience","","Derek Whitworth","Wholesale","","DerekW","72760329"
"1177","Eagles Smoke Shop","","Unassigned","Wholesale","","DerekW","72775987"
"1331","East 4th Food Mart | Olympia","","Ben Wallner","Wholesale","","BrandonG","72775988"
"1584","East Coast Vapes","","Derek Whitworth","Wholesale","","DerekW","72258076"
"170","East texas Sales and Service","","Jared Leuzinger","Wholesale","","admin","72775742"
"1965","Ecig City | ND","","Brandon Good","Wholesale","","BrandonG","74820936"
"278","Econo Distribution","","Unassigned","Distributor","","mattPeters","72775744"
"1755","EDDIES LIQUOR","","Unassigned","Wholesale","","Unassigned","72935835"
"1851","Edison Grab N Go | UT","","Brandon Good","Wholesale","","BrandonG","74820911"
